"Make Id","Model Id","Submodel Id","Trim Id","Mileage Id","Model Year","Make Name","Model Name","Submodel Name","Trim Name","Trim Description","Mileage Fuel Tank Capacity","Mileage Combined Mpg","Mileage Epa City Mpg","Mileage Epa Highway Mpg","Mileage Range City","Mileage Range Highway","Mileage Epa Combined Mpg Electric","Mileage Epa City Mpg Electric","Mileage Epa Highway Mpg Electric","Mileage Range Electric","Mileage Epa Kwh 100 Mi Electric","Mileage Epa Time To Charge Hr 240v Electric","Mileage Battery Capacity Electric","Mileage Created","Mileage Modified"
2,7188,72353,6376,6376,2020,Audi,"A4 allroad","Premium Plus","Premium Plus","Premium Plus 4dr Wagon AWD w/2.0 TFSI (2.0L 4cyl Turbo 7AM)",15.3,26,23,31,352,474,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
2,7188,72351,6377,6377,2020,Audi,"A4 allroad",PRESTIGE,Prestige,"Prestige 4dr Wagon AWD w/2.0 TFSI (2.0L 4cyl Turbo 7AM)",15.3,26,23,31,352,474,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
2,5711,72348,6370,6370,2020,Audi,"A4 Quattro",Premium,Premium,"Premium 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",15.3,27,24,32,367,490,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
2,5711,72349,6372,6372,2020,Audi,"A4 Quattro","Premium Plus","Premium Plus","Premium Plus 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",15.3,27,24,32,367,490,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
2,5711,72347,6374,6374,2020,Audi,"A4 Quattro",PRESTIGE,Prestige,"Prestige 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",15.3,27,24,32,367,490,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
2,6651,72394,6384,6384,2020,Audi,"A5 Quattro",Premium,Premium,"Premium 2dr Convertible AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",15.3,26,23,31,352,474,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
2,6651,72394,6381,6381,2020,Audi,"A5 Quattro",Premium,Premium,"Premium 2dr Coupe AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",15.3,27,24,32,367,490,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
2,6651,72395,6382,6382,2020,Audi,"A5 Quattro","Premium Plus","Premium Plus","Premium Plus 2dr Coupe AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",15.3,27,24,32,367,490,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
2,6651,72395,6385,6385,2020,Audi,"A5 Quattro","Premium Plus","Premium Plus","Premium Plus 2dr Convertible AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",15.3,26,23,31,352,474,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
2,6651,72393,6386,6386,2020,Audi,"A5 Quattro",PRESTIGE,Prestige,"Prestige 2dr Convertible AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",15.3,26,23,31,352,474,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
